cytarabine	"A pyrimidine nucleoside analog that is used mainly in the treatment of leukemia, especially acute non-lymphoblastic leukemia. Cytarabine is an antimetabolite antineoplastic agent that inhibits the synthesis of DNA. Its actions are specific for the S phase of the cell cycle. It also has antiviral and immunosuppressant properties. (From Martindale, The Extra Pharmacopoeia, 30th ed, p472)"
cefoxitin	"A semisynthetic cephamycin antibiotic resistant to beta-lactamase."
vorinostat	"A hydroxamic acid and anilide derivative that acts as a HISTONE DEACETYLASE inhibitor. It is used in the treatment of CUTANEOUS T-CELL LYMPHOMA and SEZARY SYNDROME."
infliximab	"Infliximab products neutralize the biological activity of TNF-alpha by binding with high affinity to the soluble and transmembrane forms of TNF-alpha and inhibit binding of TNF-alpha with its receptors. Infliximab products do not neutralize TNF-beta (lymphotoxin-alpha), a related cytokine that utilizes the same receptors as TNF-alpha. Biological activities attributed to TNF-alpha include: induction of pro-inflammatory cytokines such as interleukins (IL) 1 and 6, enhancement of leukocyte migration by increasing endothelial layer permeability and expression of adhesion molecules by endothelial cells and leukocytes, activation of neutrophil and eosinophil functional activity, induction of acute phase reactants and other liver proteins, as well as tissue degrading enzymes produced by synoviocytes and/or chondrocytes. Cells expressing transmembrane TNF-alpha bound by infliximab products can be lysed in vitro or in vivo. Infliximab products inhibit the functional activity of TNF-alpha in a wide variety of in vitro bioassays utilizing human fibroblasts, endothelial cells, neutrophils, B and T-lymphocytes and epithelial cells. The relationship of these biological response markers to the mechanism(s) by which infliximab products exert their clinical effects is unknown. Anti-TNF-alpha antibodies reduce disease activity in the cotton-top tamarin colitis model, and decrease synovitis and joint erosions in a murine model of collagen-induced arthritis. Infliximab products prevent disease in transgenic mice that develop polyarthritis as a result of constitutive expression of human TNF-alpha, and when administered after disease onset, allow eroded joints to heal."
cefalotin	"A cephalosporin antibiotic."
galantamine	"A benzazepine derived from norbelladine. It is found in GALANTHUS and other AMARYLLIDACEAE. It is a cholinesterase inhibitor that has been used to reverse the muscular effects of GALLAMINE TRIETHIODIDE and TUBOCURARINE and has been studied as a treatment for ALZHEIMER DISEASE and other central nervous system disorders."
"moxetumomab pasudotox"	"Moxetumomab pasudotox-tdfk is a CD22-directed cytotoxin. Moxetumomab pasudotox-tdfk binds CD22 on the cell surface of B-cells and is internalized. Moxetumomab pasudotox -tdfk internalization results in ADP-ribosylation of elongation factor 2, inhibition of protein synthesis, and apoptotic cell death."
alogliptin	"a selective, orally bioavailable inhibitor of the enzymatic activity of dipeptidyl peptidase-4 (DPP-4) that slows the inactivation of the incretin hormones, thereby increasing their bloodstream concentrations and reducing fasting and postprandial glucose concentrations in a glucose-dependent manner in patients with type 2 diabetes mellitus"
trilostane	"inhibits conversion of pregnenolone to progesterone; adrenal blocking agent used in treatment of Cushing's syndrome"
spinosad	"combination of spinosyns A and D; isolated from Saccharopolyspora spinosa"
