name	side_effect
Abametapir	The serum concentration of Bortezomib can be increased when it is combined with Abametapir.
Abatacept	The metabolism of Bortezomib can be increased when combined with Abatacept.
Abciximab	The risk or severity of bleeding can be increased when Abciximab is combined with Bortezomib.
Abemaciclib	The serum concentration of Abemaciclib can be increased when it is combined with Bortezomib.
Abiraterone	The serum concentration of Bortezomib can be increased when it is combined with Abiraterone.
Abrocitinib	The serum concentration of Bortezomib can be increased when it is combined with Abrocitinib.
Acalabrutinib	The metabolism of Bortezomib can be decreased when combined with Acalabrutinib.
Acebutolol	The metabolism of Bortezomib can be decreased when combined with Acebutolol.
Acenocoumarol	The metabolism of Acenocoumarol can be decreased when combined with Bortezomib.
Acetaminophen	The metabolism of Bortezomib can be increased when combined with Acetaminophen.
Acetazolamide	The serum concentration of Bortezomib can be increased when it is combined with Acetazolamide.
Acetohexamide	The metabolism of Acetohexamide can be decreased when combined with Bortezomib.
Acetyl sulfisoxazole	The metabolism of Bortezomib can be decreased when combined with Acetyl sulfisoxazole.
Acetyldigitoxin	Acetyldigitoxin may decrease the cardiotoxic activities of Bortezomib.
Acetylsalicylic acid	The risk or severity of bleeding can be increased when Acetylsalicylic acid is combined with Bortezomib.
Acrivastine	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Acrivastine.
Acyclovir	The metabolism of Acyclovir can be decreased when combined with Bortezomib.
Adagrasib	The serum concentration of Bortezomib can be increased when it is combined with Adagrasib.
Adalimumab	The metabolism of Bortezomib can be increased when combined with Adalimumab.
Adenosine	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Adenosine.
Adenovirus type 7 vaccine live	The risk or severity of infection can be increased when Adenovirus type 7 vaccine live is combined with Bortezomib.
Afatinib	The serum concentration of Bortezomib can be increased when it is combined with Afatinib.
Agomelatine	The metabolism of Agomelatine can be decreased when combined with Bortezomib.
Ajmaline	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Ajmaline.
Albendazole	The metabolism of Bortezomib can be increased when combined with Albendazole.
Aldesleukin	The serum concentration of Bortezomib can be increased when it is combined with Aldesleukin.
Alefacept	The risk or severity of adverse effects can be increased when Alefacept is combined with Bortezomib.
