smiles	interact_with_adenosine
BrC1=C(NC2=NCCN2)C=CC2=NC=CN=C12	0
C#CC1=CC=CC(NC2=NC=NC3=C2C=C2OCCOCCOCCOC2=C3)=C1	0
C#CCN[C@@H]1CCC2=C1C=CC=C2	0
CC(C)(C)C1=CC=C(C=C1)C(=O)CCCN1CCC(CC1)OC(C1=CC=CC=C1)C1=CC=CC=C1	1
C(C1=NCCN1)C1=CC=CC2=CC=CC=C12	0
C(C1=NCCN1)C1=CC=CC=C1	0
C(N(CC1=CC=CC=C1)C1=CC=CC=C1)C1=NCCN1	0
C(N1CCCNCCNCCCNCC1)C1=CC=C(CN2CCCNCCNCCCNCC2)C=C1	0
C(N1CCN(CC1)C1=NC=CC=N1)C1=CC2=C(OCO2)C=C1	0
CC#CC(=O)N1CCC[C@H]1C1=NC(=C2N1C=CN=C2N)C1=CC=C(C=C1)C(=O)NC1=CC=CC=N1	0
CC#CCN1C(=NC2=C1C(=O)N(CC1=NC3=CC=CC=C3C(C)=N1)C(=O)N2C)N1CCC[C@@H](N)C1	0
CC(=O)C1=C(C)C2=C(N=C(NC3=NC=C(C=C3)N3CCNCC3)N=C2)N(C2CCCC2)C1=O	0
CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1	0
CC(=O)C1=CC=C2SC3=CC=CC=C3N(CCCN3CCN(CCO)CC3)C2=C1	0
CC(=O)CC(C1=CC=CC=C1)C1=C(O)C2=CC=CC=C2OC1=O	0
CC(=O)N1CCN(CC1)C1=CC=C(OCC2COC(CN3C=CN=C3)(O2)C2=C(Cl)C=C(Cl)C=C2)C=C1	0
CC(=O)NC1=CC=C(O)C=C1	0
CC(=O)NC1=NN=C(S1)S(N)(=O)=O	0
CC(=O)NCCCS(O)(=O)=O	0
CC(=O)OC1=CC=CC=C1C(O)=O	0
CC(=O)OCC(=O)NCCCOC1=CC=CC(CN2CCCCC2)=C1	0
CC(=O)OCC[N+](C)(C)C	0
CC(=O)O[C@H]1CC2=C(C=CC=C2)N(C(N)=O)C2=CC=CC=C12	0
CC(=O)SCC(CC1=CC=CC=C1)C(=O)NCC(=O)OCC1=CC=CC=C1	0
CC(C(=O)NC1=CC(C)=CC=N1)C1=CC=CC(=C1)C(=O)C1=CC=CC=C1	0
CC(C(O)=O)C1=CC(F)=C(C=C1)C1=CC=CC=C1	0
CC(C(O)=O)C1=CC2=C(C=C1)C1=CC(Cl)=CC=C1N2	0
CC(C(O)=O)C1=CC2=C(OC(=N2)C2=CC=C(Cl)C=C2)C=C1	0
CC(C(O)=O)C1=CC=C(C=C1)C(=O)C1=CC=CS1	0
CC(C(O)=O)C1=CC=C(CC2CCCC2=O)C=C1	0
CC(C(O)=O)C1=CC=C(S1)C(=O)C1=CC=CC=C1	0
CC(C(O)=O)C1=CC=CC(=C1)C(=O)C1=CC=CC=C1	0
CC(C(O)=O)C1=CC=CC(OC2=CC=CC=C2)=C1	0
CC(C)(C#N)C1=CC(=CC(CN2C=NC=N2)=C1)C(C)(C)C#N	0
CC(C)(C(=O)C1=CN=CC=C1)C1=CN=CC=C1	0
CC(C)(C(O)=O)C1=CC=C(C=C1)C(O)CCCN1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1	0
CC(C)(C)C(=O)OC1=CC=C(C=C1)S(=O)(=O)NC1=C(C=CC=C1)C(=O)NCC(O)=O	0
CC(C)(C)C1=CC(=C(NC(=O)C2=CNC3=CC=CC=C3C2=O)C=C1O)C(C)(C)C	0
