uniprot	swissprot	name	act_value	act_type	action_type	source_name	reference	smiles	ChEMBL_Id
P19838	NFKB1_HUMAN	cepharanthine			INHIBITOR	SCIENTIFIC LITERATURE	http://www.ncbi.nlm.nih.gov/pubmed/31132753	[H][C@]12CC3=CC(OC4=CC=C(C[C@@H]5N(C)CCC6=CC7=C(OCO7)C(OC7=C(OC)C=C(CCN1C)C2=C7)=C56)C=C4)=C(OC)C=C3	CHEMBL449782
Q13131	AAPK1_HUMAN	cepharanthine			INHIBITOR	SCIENTIFIC LITERATURE	http://www.ncbi.nlm.nih.gov/pubmed/31132753	[H][C@]12CC3=CC(OC4=CC=C(C[C@@H]5N(C)CCC6=CC7=C(OCO7)C(OC7=C(OC)C=C(CCN1C)C2=C7)=C56)C=C4)=C(OC)C=C3	CHEMBL449782
P07711	CATL1_HUMAN	teicoplanin aglycone	5.78	IC50	INHIBITOR	SCIENTIFIC LITERATURE	http://dx.doi.org/10.1101/2020.02.05.935387	[H][C@@]12CC3=CC=C(OC4=C(O)C5=CC(=C4)[C@@]([H])(NC(=O)[C@@]([H])(NC1=O)C1=CC(O)=CC(OC4=C(O)C=CC(=C4)[C@@H](N)C(=O)N2)=C1)C(=O)N[C@]1([H])C2=CC(=C(O)C=C2)C2=C(O)C=C(O)C=C2[C@]([H])(NC(=O)[C@@]([H])(NC1=O)[C@H](O)C1=CC(Cl)=C(O5)C=C1)C(O)=O)C(Cl)=C3	CHEMBL2348244
P16234	PGFRA_HUMAN	avapritinib	9.62	IC50	INHIBITOR	DRUG LABEL	https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/212608s000lbl.pdf	CN1C=C(C=N1)C1=CN2N=CN=C(N3CCN(CC3)C3=NC=C(C=N3)[C@@](C)(N)C3=CC=C(F)C=C3)C2=C1	CHEMBL4204794
P10721	KIT_HUMAN	avapritinib	9.57	IC50	INHIBITOR	DRUG LABEL	https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/212608s000lbl.pdf	CN1C=C(C=N1)C1=CN2N=CN=C(N3CCN(CC3)C3=NC=C(C=N3)[C@@](C)(N)C3=CC=C(F)C=C3)C2=C1	CHEMBL4204794
Q15910	EZH2_HUMAN	tazemetostat	7.96	IC50	INHIBITOR	DRUG LABEL	https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/211723s000lbl.pdf	CCN(C1CCOCC1)C1=CC(=CC(C(=O)NCC2=C(C)C=C(C)NC2=O)=C1C)C1=CC=C(CN2CCOCC2)C=C1	CHEMBL3414621
Q12908	NTCP2_HUMAN	elobixibat	9.275724	IC50	INHIBITOR	SCIENTIFIC LITERATURE	http://dx.doi.org/10.1016/S0016-5085(10)61017-7	CCCCC1(CCCC)CN(C2=CC=CC=C2)C2=C(C=C(OCC(=O)N[C@@H](C(=O)NCC(O)=O)C3=CC=CC=C3)C(SC)=C2)S(=O)(=O)C1	CHEMBL3039515
P13569	CFTR_HUMAN	tezacaftor			PHARMACOLOGICAL CHAPERONE	DRUG LABEL	https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/210491lbl.pdf	CC(C)(CO)C1=CC2=C(C=C(F)C(NC(=O)C3(CC3)C3=CC=C4OC(F)(F)OC4=C3)=C2)N1C[C@@H](O)CO	CHEMBL3544914
P30874	SSR2_HUMAN	lutetium (177Lu) oxodotreotide			AGONIST	DRUG LABEL	https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/208700s000lbl.pdf	[177Lu].C[C@@H](O)[C@H](NC(=O)C1CSSC[C@H](NC(=O)C(CC2=CC=CC=C2)NC(=O)CN2CCN(CC(O)=O)CCN(CC(O)=O)CCN(CC(O)=O)CC2)C(=O)N[C@@H](CC2=CC=C(O)C=C2)C(=O)N[C@H](CC2=CNC3=C2C=CC=C3)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H]([C@@H](C)O)C(=O)N1)C(O)=O	CHEMBL3989924
Q92847	GHSR_HUMAN	macimorelin	7.81	IC50	AGONIST	DRUG LABEL	https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/205598s000lbl.pdf	[H]C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@@H](CC1=CC2=C(N1)C=CC=C2)NC(=O)C(C)(C)N	CHEMBL278623
P42336	PK3CA_HUMAN	copanlisib	9.301030158996582	IC50	INHIBITOR	DRUG LABEL	https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/209936s000lbl.pdf	COC1=C(OCCCN2CCOCC2)C=CC2=C1N=C(NC(=O)C1=CN=C(N)N=C1)N1CCN=C21	CHEMBL3218576
O00329	PK3CD_HUMAN	copanlisib	9.154901504516602	IC50	INHIBITOR	DRUG LABEL	https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/209936s000lbl.pdf	COC1=C(OCCCN2CCOCC2)C=CC2=C1N=C(NC(=O)C1=CN=C(N)N=C1)N1CCN=C21	CHEMBL3218576
P11802	CDK4_HUMAN	abemaciclib	9.22184875	Ki	INHIBITOR	DRUG LABEL	https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/208716Orig1s000lbl.pdf	CCN1CCN(CC2=CC=C(NC3=NC=C(F)C(=N3)C3=CC(F)=C4N=C(C)N(C(C)C)C4=C3)N=C2)CC1	CHEMBL3301610
Q00534	CDK6_HUMAN	abemaciclib	8.619788758	Ki	INHIBITOR	DRUG LABEL	https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/208716Orig1s000lbl.pdf	CCN1CCN(CC2=CC=C(NC3=NC=C(F)C(=N3)C3=CC(F)=C4N=C(C)N(C(C)C)C4=C3)N=C2)CC1	CHEMBL3301610
P43088	PF2R_HUMAN	latanoprostene bunod	8.6	Ki	AGONIST	SCIENTIFIC LITERATURE	http://www.ncbi.nlm.nih.gov/pubmed/21396362	[H][C@]1(CC[C@@H](O)CCC2=CC=CC=C2)[C@H](O)C[C@H](O)[C@]1([H])C\C=C/CCCC(=O)OCCCCO[N+]([O-])=O	CHEMBL1050
Q01344	IL5RA_HUMAN	benralizumab	10.95860731	Kd	ANTIBODY BINDING	DRUG LABEL	https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/761070s000lbl.pdf		CHEMBL1742991
P43220	GLP1R_HUMAN	semaglutide	9.420216403	IC50	AGONIST	DRUG LABEL	https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/209637lbl.pdf	[H]N[C@@H](CC1=CNC=N1)C(=O)NC(C)(C)C(=O)N[C@@H](CCC(O)=O)C(=O)NCC(=O)N[C@H]([C@@H](C)O)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@H]([C@@H](C)O)C(=O)N[C@H](CO)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@H](C(C)C)C(=O)N[C@@H](CO)C(=O)NC(CO)C(=O)NC(CC1=CC=C(O)C=C1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(O)=O)C(=O)NCC(=O)NC(CCC(N)=O)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N[C@@H](CCCCNC(=O)COCCOCCNC(=O)COCCOCCNC(=O)[C@H](CCC(O)=O)NC(=O)CCCCCCCCCCCCCCCCC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](C)C(=O)NC(CC1=CNC2=C1C=CC=C2)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(C)C)C(=O)NC(CCCNC(N)=N)C(=O)NCC(=O)N[C@@H](CCCNC(N)=N)C(=O)NCC(O)=O	CHEMBL2108724
O75116	ROCK2_HUMAN	netarsudil	8.376751	Ki	INHIBITOR	DRUG LABEL	https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/208254lbl.pdf	CC1=CC=C(C(=O)OCC2=CC=C(C=C2)[C@@H](CN)C(=O)NC2=CC3=C(C=C2)C=NC=C3)C(C)=C1	CHEMBL3545126
P09874	PARP1_HUMAN	rucaparib	8.5	IC50	INHIBITOR	DRUG LABEL	http://www.accessdata.fda.gov/drugsatfda_docs/label/2016/209115s000lbl.pdf	CNCC1=CC=C(C=C1)C1=C2CCNC(=O)C3=CC(F)=CC(N1)=C23	CHEMBL1173055
Q9UGN5	PARP2_HUMAN	rucaparib	7.550000190734863	IC50	INHIBITOR	DRUG LABEL	http://www.accessdata.fda.gov/drugsatfda_docs/label/2016/209115s000lbl.pdf	CNCC1=CC=C(C=C1)C1=C2CCNC(=O)C3=CC(F)=CC(N1)=C23	CHEMBL1173055
Q9Y6F1	PARP3_HUMAN	rucaparib	6.389999866485596	IC50	INHIBITOR	DRUG LABEL	http://www.accessdata.fda.gov/drugsatfda_docs/label/2016/209115s000lbl.pdf	CNCC1=CC=C(C=C1)C1=C2CCNC(=O)C3=CC(F)=CC(N1)=C23	CHEMBL1173055
P27815	PDE4A_HUMAN	crisaborole	6.3098039627075195	IC50	INHIBITOR	DRUG LABEL	http://www.accessdata.fda.gov/drugsatfda_docs/label/2016/207695s000lbl.pdf	OB1OCC2=CC(OC3=CC=C(C=C3)C#N)=CC=C12	CHEMBL484785
Q07343	PDE4B_HUMAN	crisaborole	6.3098039627075195	IC50	INHIBITOR	DRUG LABEL	http://www.accessdata.fda.gov/drugsatfda_docs/label/2016/207695s000lbl.pdf	OB1OCC2=CC(OC3=CC=C(C=C3)C#N)=CC=C12	CHEMBL484785
Q08493	PDE4C_HUMAN	crisaborole	6.3098039627075195	IC50	INHIBITOR	DRUG LABEL	http://www.accessdata.fda.gov/drugsatfda_docs/label/2016/207695s000lbl.pdf	OB1OCC2=CC(OC3=CC=C(C=C3)C#N)=CC=C12	CHEMBL484785
Q08499	PDE4D_HUMAN	crisaborole	6.3098039627075195	IC50	INHIBITOR	DRUG LABEL	http://www.accessdata.fda.gov/drugsatfda_docs/label/2016/207695s000lbl.pdf	OB1OCC2=CC(OC3=CC=C(C=C3)C#N)=CC=C12	CHEMBL484785
P23458	JAK1_HUMAN	baricitinib	8.229147911071777	IC50	INHIBITOR	DRUG LABEL	http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/004085/WC500223723.pdf	CCS(=O)(=O)N1CC(CC#N)(C1)N1C=C(C=N1)C1=NC=NC2=C1C=CN2	CHEMBL2105759
O60674	JAK2_HUMAN	baricitinib	8.244125366210938	IC50	INHIBITOR	DRUG LABEL	http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/004085/WC500223723.pdf	CCS(=O)(=O)N1CC(CC#N)(C1)N1C=C(C=N1)C1=NC=NC2=C1C=CN2	CHEMBL2105759
P00533	EGFR_HUMAN	icotinib	8.698969841003418	IC50	INHIBITOR	SCIENTIFIC LITERATURE	http://www.ncbi.nlm.nih.gov/pubmed/22088449	C#CC1=CC=CC(NC2=NC=NC3=C2C=C2OCCOCCOCCOC2=C3)=C1	CHEMBL2087361
P00533	EGFR_HUMAN	olmutinib	8.036211967468262	IC50	INHIBITOR	SCIENTIFIC LITERATURE	http://www.ncbi.nlm.nih.gov/pubmed/27357069	CN1CCN(CC1)C1=CC=C(NC2=NC3=C(SC=C3)C(OC3=CC=CC(NC(=O)C=C)=C3)=N2)C=C1	CHEMBL3786343
P25092	GUC2C_HUMAN	plecanatide	6.721246242523193	EC50	AGONIST	DRUG LABEL	http://www.accessdata.fda.gov/drugsatfda_docs/label/2017/208745lbl.pdf	[H]N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@H]1CSSC[C@@H]2NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@H](CSSC[C@H](NC(=O)CNC(=O)[C@@H](NC2=O)[C@@H](C)O)C(=O)N[C@@H](CC(C)C)C(O)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(O)=O)NC1=O)C(C)C)C(C)C	CHEMBL255489
P08684	CP3A4_HUMAN	cobicistat	6.027334213256836	Ki	INHIBITOR	DRUG LABEL	http://www.accessdata.fda.gov/drugsatfda_docs/label/2016/203094s005lbl.pdf	CC(C)C1=NC(CN(C)C(=O)N[C@@H](CCN2CCOCC2)C(=O)N[C@H](CC[C@H](CC2=CC=CC=C2)NC(=O)OCC2=CN=CS2)CC2=CC=CC=C2)=CS1	CHEMBL2095208
P20815	CP3A5_HUMAN	cobicistat	6.027334213256836	Ki	INHIBITOR	DRUG LABEL	http://www.accessdata.fda.gov/drugsatfda_docs/label/2016/203094s005lbl.pdf	CC(C)C1=NC(CN(C)C(=O)N[C@@H](CCN2CCOCC2)C(=O)N[C@H](CC[C@H](CC2=CC=CC=C2)NC(=O)OCC2=CN=CS2)CC2=CC=CC=C2)=CS1	CHEMBL2095208
P24462	CP3A7_HUMAN	cobicistat	6.027334213256836	Ki	INHIBITOR	DRUG LABEL	http://www.accessdata.fda.gov/drugsatfda_docs/label/2016/203094s005lbl.pdf	CC(C)C1=NC(CN(C)C(=O)N[C@@H](CCN2CCOCC2)C(=O)N[C@H](CC[C@H](CC2=CC=CC=C2)NC(=O)OCC2=CN=CS2)CC2=CC=CC=C2)=CS1	CHEMBL2095208
Q9HB55	CP343_HUMAN	cobicistat	6.027334213256836	Ki	INHIBITOR	DRUG LABEL	http://www.accessdata.fda.gov/drugsatfda_docs/label/2016/203094s005lbl.pdf	CC(C)C1=NC(CN(C)C(=O)N[C@@H](CCN2CCOCC2)C(=O)N[C@H](CC[C@H](CC2=CC=CC=C2)NC(=O)OCC2=CN=CS2)CC2=CC=CC=C2)=CS1	CHEMBL2095208
